outer_fold,corridor,frontier_point_id,common_signal_count,comparison_status,left_hit_rate,right_hit_rate,delta_hit_rate,left_mean_regret_bps,right_mean_regret_bps,delta_mean_regret_bps
outer_2022,RUB_KZT,budget_07,11,active,0.7272727272727273,0.8181818181818182,0.09090909090909094,48.22563307438182,33.788839794999994,-14.436793279381824
outer_2022,RUB_KZT,budget_08,18,active,0.6111111111111112,0.6666666666666666,0.05555555555555547,72.41569171513335,69.83222679007223,-2.583464925061122
outer_2022,RUB_KZT,budget_09,39,active,0.4358974358974359,0.4358974358974359,0.0,166.115200993141,172.22192374935642,6.106722756215419
outer_2022,RUB_KZT,budget_10,41,active,0.5121951219512195,0.4634146341463415,-0.04878048780487804,162.68571780656583,195.84738671952437,33.16166891295853
outer_2022,RUB_KZT,budget_11,41,active,0.5121951219512195,0.4634146341463415,-0.04878048780487804,162.68571780656583,195.84738671952437,33.16166891295853
outer_2022,RUB_KZT,budget_12,41,active,0.5121951219512195,0.4634146341463415,-0.04878048780487804,162.68571780656583,195.84738671952437,33.16166891295853
outer_2022,RUB_KZT,budget_13,41,active,0.5121951219512195,0.4634146341463415,-0.04878048780487804,162.68571780656583,195.84738671952437,33.16166891295853
outer_2022,RUB_TJS,budget_00,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_01,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_02,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_03,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_04,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_05,1,active,1.0,1.0,0.0,0.0,0.0,0.0
outer_2022,RUB_TJS,budget_06,6,active,1.0,1.0,0.0,0.0,0.0,0.0
outer_2022,RUB_TJS,budget_07,15,active,0.7333333333333333,0.8666666666666667,0.13333333333333341,53.72686095584,26.54360377621333,-27.183257179626672
outer_2022,RUB_TJS,budget_08,33,active,0.5454545454545454,0.5757575757575758,0.030303030303030387,135.42156071041515,102.4908993643697,-32.930661346045454
outer_2022,RUB_TJS,budget_09,44,active,0.5,0.5,0.0,194.68756730975454,194.68756730975454,0.0
outer_2022,RUB_TJS,budget_10,44,active,0.5,0.5,0.0,194.68756730975454,194.68756730975454,0.0
outer_2022,RUB_TJS,budget_11,44,active,0.5,0.5,0.0,194.68756730975454,194.68756730975454,0.0
outer_2022,RUB_TJS,budget_12,44,active,0.5,0.5,0.0,194.68756730975454,194.68756730975454,0.0
outer_2022,RUB_TJS,budget_13,44,active,0.5,0.5,0.0,194.68756730975454,194.68756730975454,0.0
outer_2022,RUB_UZS,budget_00,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_01,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_02,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_03,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_04,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_05,1,active,1.0,1.0,0.0,0.0,0.0,0.0
outer_2022,RUB_UZS,budget_06,6,active,1.0,1.0,0.0,1.5366305033499998,1.5366305033499998,0.0
outer_2022,RUB_UZS,budget_07,14,active,0.7857142857142857,0.9285714285714286,0.1428571428571429,33.44919965881429,16.143831057957144,-17.305368600857143
outer_2022,RUB_UZS,budget_08,27,active,0.6296296296296297,0.6666666666666666,0.03703703703703698,81.64199950584076,78.10434141985186,-3.5376580859888946
