metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
delta_false_push_regret_bps,-23.703171044044993,-44.71051354146283,-2.220904351867601,10.644464397841112,,,0.986,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_p90_regret_bps,-68.75994537183445,-101.68458695865499,-42.23124206462003,15.14715687552866,,,1.0,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_hit_rate,0.8582354224175597,0.8020048872180451,0.9086699967390981,0.027545896929689322,,,,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_hit_rate,0.6992988095477982,0.6518494245882871,0.7462413505798584,0.024190269315945874,,,,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_hit_rate,0.15893661286976157,0.11548880836148924,0.2038507584357597,0.022598326270094872,1.0,,1.0,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
lift,1.2278995206902703,1.1614185850257357,1.3019099340472358,0.03577932524465633,,0.0268,,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_mean_regret_bps,22.491780672267343,15.417683485516854,30.28705327300258,3.793020147966971,,,,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_mean_regret_bps,53.47978033660422,42.04687064209577,66.10546051119435,6.156853147348195,,,,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_mean_regret_bps,-30.987999664336886,-41.05503736441622,-21.99058883716847,4.861589867145284,,,1.0,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_false_push_regret_bps,-39.56163774443552,-62.83302729618427,-16.58274998123887,11.943691415587832,,,0.999,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_p90_regret_bps,-82.94269264921564,-129.971228888655,-49.88011934222752,20.699211111479915,,,1.0,5000,leave_2023_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_hit_rate,0.8506531588343034,0.7915364385228977,0.9041551545695901,0.02850953405476442,,,,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_hit_rate,0.6652643330560238,0.6210564634569256,0.7077049047469436,0.022034297595098354,,,,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_hit_rate,0.1853888257782797,0.13709898693803652,0.23388581260847793,0.024544541054894124,1.0,,1.0,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
lift,1.2792889434011958,1.2028100466876652,1.3628306001433836,0.040442835398380256,,0.2956,,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_mean_regret_bps,24.56062368781234,16.28220264504302,33.8305735277052,4.475241154753034,,,,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
