date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous,return_1,return_3,return_5,return_10,return_20,distance_to_min_5,distance_to_mean_5,range_position_5,distance_to_min_10,distance_to_mean_10,range_position_10,distance_to_min_20,distance_to_mean_20,range_position_20,distance_to_min_60,distance_to_mean_60,range_position_60,volatility_5,volatility_10,volatility_20,down_streak,month_sin,month_cos,weekday_sin,weekday_cos,eligible_for_signal,has_full_window,message_hit,future_regret_bps,moment_advantage_bps,score,threshold,hypothesis_id,horizon_days,strategy,model,test_year,validation_auc,feature_count,hyperparameters
2024-05-23,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,20.4139,0.204139,4.8986229971,1.0,False,0.0019042851323429755,-0.009269639745885794,-0.013725963861242696,-0.012619227271847833,-0.026105500188444375,0.0019042851323429755,-0.003574925538654905,0.1688424717145325,0.0019042851323429755,-0.010670216782244113,0.07447216890594971,0.0019042851323429755,-0.014336705563394836,0.06949668636933533,0.018037921026121673,-0.00918821374407408,0.37509073939645204,0.003922447734620063,0.004691974160286191,0.004129701693883363,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,True,True,0,81.5130866713,-9.610528432,0.809993055455034,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-05-31,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,20.2748,0.202748,4.9322311441,1.0,False,0.003052475869609328,0.013132120727563645,-0.00749465192212595,-0.01571473650994004,-0.021179424047119033,0.015237475276032253,0.0065142343118751445,1.0,0.015237475276032253,-0.0011577324209416373,0.479665825977303,0.015237475276032253,-0.011871307578863344,0.3287597234226462,0.015237475276032253,-0.014761313146202215,0.29091778202677043,0.009535426216170359,0.006887290081650861,0.005848991234575725,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,True,True,1,0.0,-43.9695602973,0.8188667722127806,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-06-08,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.8618,0.198618,5.0347904017,1.0,False,0.003917247514443334,0.00045837593878905736,-0.020490893758044804,-0.019049265341400168,-0.04949727461105191,0.003917247514443334,0.00018632195426548925,0.38944723618089966,0.003917247514443334,-0.007099643968002112,0.1572008113590254,0.003917247514443334,-0.020190098453091387,0.07244344737334053,0.003917247514443334,-0.03353521879611754,0.06289563382567748,0.006894756752020592,0.00771237863865493,0.005932902515980708,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,True,True,1,0.0,-7.8460391179,0.8207924565898636,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-06-15,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.7319,0.197319,5.0679356778,1.0,False,0.01059667093469896,-0.00808835357516291,-0.0026485647710557947,-0.026777082881212277,-0.042071024589169115,0.01059667093469896,-0.0021997026608816528,0.5625339858618801,0.01059667093469896,-0.006365096710191809,0.2750232619965422,0.01059667093469896,-0.017252456632284696,0.1915918140568559,0.01059667093469896,-0.037962529656512256,0.1387194099899423,0.010302351424737176,0.008255240554476838,0.007421545755253564,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,True,True,1,0.0,5.9765900009,0.8570063539389208,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-06-22,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1383,0.191383,5.2251244886,1.0,False,0.03009833630261949,-0.004069419509275862,-0.030083266183185575,-0.03265215347523032,-0.06312934760792832,0.06076965286361191,0.010149899714979371,0.6403083571804008,0.06076965286361191,-0.011487187963245105,0.5923604732832678,0.06076965286361191,-0.028588874628867944,0.49047150398139017,0.06076965286361191,-0.060992191903012305,0.3685873730921806,0.03911955843861503,0.02709638525571304,0.019387355457461775,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,True,True,0,176.1389465104,-144.9790085238,0.8173938717265541,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-07-06,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.5395,0.185395,5.3938887241,1.0,False,-0.005770334261091525,0.001182658659869551,0.006498441894048801,-0.03128804543768249,-0.06291857685134161,0.0012475427188871624,-0.0017596211107150372,0.1767406273909782,0.01196486957091314,-0.0029889626718464513,0.4558120191307956,0.027580243765900514,-0.02310003904543667,0.26884218488303036,0.027580243765900514,-0.07509339946100524,0.1672829960330804,0.004907019026797238,0.010444094541815982,0.019986503136706572,1,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,True,True,1,14.6174384422,12.2675873258,0.8191158155731457,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-07-12,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.3891,0.183891,5.438004035,1.0,False,0.006309579835611645,-0.006660400596357086,-0.01383593159258012,0.00375539701860772,-0.05817669654289381,0.006309579835611645,-0.0026780949405806886,0.433948061723745,0.006309579835611645,-0.005637699152560738,0.30886686311277567,0.01924409291704321,-0.016798123109957208,0.20276820650586946,0.01924409291704321,-0.07512151254959087,0.11672157601021999,0.0063672045444827415,0.00577304349511535,0.019831572650531173,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,True,True,1,0.0,33.4634345005,0.7959943485862965,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-07-19,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.5067,0.185067,5.4034484808,1.0,False,-0.0028449042269457214,0.0011901734948362996,0.006395092745158815,-0.007529320913171378,-0.003896851838894211,0.0011901734948362996,-0.0021879218947469248,0.11011011011010911,0.012745022929002259,0.0007473146421759225,0.5670805941076207,0.012745022929002259,-0.0036190529516654246,0.2694042799305959,0.025762253421202974,-0.059790414248620194,0.1607470171191428,0.0070550531267665525,0.006687549019987297,0.01114373268748524,2,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,True,True,1,29.6649321597,3.3875861558,0.8633029835128713,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-07-26,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.0156,0.180156,5.55074491,1.0,False,-0.01623445767737486,-0.017789869097530775,-0.026536335489309226,-0.020310945070721176,-0.016631823714677085,0.0,-0.016323624482378896,0.0,0.0,-0.022533872427420887,0.0,0.0,-0.024186795246921466,0.0,0.0,-0.07478428187111774,0.0,0.00800218918109105,0.007925157239467804,0.006860651544493161,2,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,True,True,1,0.0,85.2792468821,0.8077372258362282,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2024-08-02,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.0997,0.180997,5.5249534523,1.0,False,-0.0007949608316173418,-0.007076752593437874,0.0046681764692819705,-0.021992035316939385,-0.029355771138675713,0.004183241512846658,-0.0023008096380442433,0.34891254049051196,0.0046681764692819705,-0.0070386219003730766,0.19280146721686958,0.0046681764692819705,-0.014201184721063353,0.12572880849155038,0.0046681764692819705,-0.06009730144788972,0.0291963200833182,0.006582516649424435,0.007661620031987514,0.007039225219315019,2,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,True,True,1,25.470035415,11.4944612937,0.8586226359408957,0.7957481304944841,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2024,0.6222035609640209,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
