outer_fold,corridor,requested_signals_per_week,frontier_status_left,signals_per_week_left,signal_hit_rate_left,matched_random_hit_rate_left,lift_left,mean_realized_regret_bps_left,frontier_status_right,signals_per_week_right,signal_hit_rate_right,matched_random_hit_rate_right,lift_right,mean_realized_regret_bps_right,delta_hit_rate,delta_mean_regret_bps,frequency_gap_per_week
outer_2023,RUB_TJS,0.6,active,0.7095890410958904,0.8648648648648649,0.7460675675675675,1.1592312847542974,23.949620497208105,active,0.6520547945205479,0.8235294117647058,0.7365588235294117,1.1180769077187238,26.19491641859412,-0.04133545310015907,2.2452959213860133,-0.05753424657534245
outer_2023,RUB_TJS,0.7,active,0.7287671232876712,0.8157894736842105,0.7444736842105264,1.0957935666313183,25.69830770786842,active,0.747945205479452,0.8205128205128205,0.7382179487179488,1.1114777443948525,37.376721749374354,0.004723346828609976,11.678414041505935,0.019178082191780743
outer_2023,RUB_TJS,0.8,active,0.8630136986301369,0.6,0.7457777777777778,0.8045292014302742,73.66457994540666,active,0.8054794520547944,0.7857142857142857,0.7327857142857144,1.0722292621113167,47.51833600100714,0.18571428571428572,-26.146243944399515,-0.05753424657534245
outer_2023,RUB_TJS,0.9,active,0.9397260273972602,0.6122448979591837,0.7025510204081633,0.8714596949891067,70.08485280793265,active,0.9013698630136986,0.6808510638297872,0.713,0.9549103279520158,65.94721828012554,0.06860616587060353,-4.1376345278071085,-0.0383561643835616
outer_2023,RUB_TJS,1.0,active,0.978082191780822,0.6274509803921569,0.7056960784313726,0.8891235187063252,72.04696855279019,active,0.978082191780822,0.6470588235294118,0.7056960784313726,0.916908628665898,68.61129769049607,0.019607843137254943,-3.435670862294117,0.0
outer_2023,RUB_TJS,1.1,active,0.978082191780822,0.6274509803921569,0.7060098039215686,0.8887284240345493,72.04696855279019,active,0.978082191780822,0.6470588235294118,0.7060098039215686,0.916501187285629,68.61129769049607,0.019607843137254943,-3.435670862294117,0.0
outer_2023,RUB_TJS,1.2,active,0.978082191780822,0.6274509803921569,0.7049313725490196,0.8900880352697383,72.04696855279019,active,0.978082191780822,0.6470588235294118,0.7049313725490196,0.9179032863719178,68.61129769049607,0.019607843137254943,-3.435670862294117,0.0
outer_2023,RUB_TJS,1.3,active,0.978082191780822,0.6274509803921569,0.705421568627451,0.8894695148221756,72.04696855279019,active,0.978082191780822,0.6470588235294118,0.705421568627451,0.9172654371603686,68.61129769049607,0.019607843137254943,-3.435670862294117,0.0
outer_2023,RUB_TJS,1.4,active,0.978082191780822,0.6274509803921569,0.7073333333333333,0.8870654765204857,72.04696855279019,active,0.978082191780822,0.6470588235294118,0.7073333333333333,0.9147862726617508,68.61129769049607,0.019607843137254943,-3.435670862294117,0.0
outer_2023,RUB_UZS,0.1,active,0.1342465753424657,1.0,0.7636428571428571,1.309512674211954,0.0,active,0.1726027397260273,0.8888888888888888,0.6706666666666667,1.325381047051027,13.3038475354,-0.11111111111111116,13.3038475354,0.0383561643835616
outer_2023,RUB_UZS,0.2,active,0.2876712328767123,0.8666666666666667,0.728,1.1904761904761905,14.876604423726668,active,0.1726027397260273,0.8888888888888888,0.6795,1.3081514185266945,13.3038475354,0.022222222222222143,-1.5727568883266692,-0.11506849315068501
outer_2023,RUB_UZS,0.3,active,0.4410958904109588,0.8695652173913043,0.7383478260869565,1.177717583323519,15.511012590282608,active,0.3452054794520547,0.7777777777777778,0.7245555555555555,1.0734549915657108,23.050284228422225,-0.09178743961352653,7.539271638139617,-0.0958904109589041
outer_2023,RUB_UZS,0.4,active,0.5753424657534246,0.8333333333333334,0.7303166666666666,1.1410575321207697,24.6252148372,active,0.4027397260273972,0.8095238095238095,0.7274047619047619,1.1128931949854342,20.441317774242854,-0.023809523809523836,-4.183897062957147,-0.1726027397260274
outer_2023,RUB_UZS,0.5,active,0.6136986301369862,0.84375,0.731890625,1.152836190516855,23.008986326665624,active,0.5178082191780822,0.8148148148148148,0.732574074074074,1.1122626962258904,27.430865470244445,-0.02893518518518523,4.4218791435788205,-0.09589041095890405
outer_2023,RUB_UZS,0.6,active,0.6904109589041095,0.8333333333333334,0.73225,1.138044838966655,26.854913170955555,active,0.5945205479452055,0.8064516129032258,0.727741935483871,1.108156028368794,29.096771233829028,-0.026881720430107614,2.2418580628734723,-0.09589041095890405
outer_2023,RUB_UZS,0.7,active,0.747945205479452,0.7948717948717948,0.7320128205128206,1.0858714118079758,27.8689788170923,active,0.7095890410958904,0.8378378378378378,0.732364864864865,1.1440169757357688,25.789631490197294,0.042966042966043005,-2.0793473268950073,-0.0383561643835616
outer_2023,RUB_UZS,0.8,active,0.8821917808219177,0.7391304347826086,0.7312826086956521,1.0107315913077084,50.19621146758914,active,0.7671232876712328,0.825,0.7265,1.1355815554026152,40.99979619243,0.08586956521739131,-9.19641527515914,-0.1150684931506849
outer_2023,RUB_UZS,0.9,active,0.9397260273972602,0.6530612244897959,0.7128877551020408,0.916078610995806,65.92581377992448,active,0.9013698630136986,0.6382978723404256,0.701627659574468,0.9097387533546616,69.6585679322,-0.014763352149370301,3.7327541522755183,-0.0383561643835616
outer_2023,RUB_UZS,1.0,active,0.978082191780822,0.6078431372549019,0.7192156862745098,0.8451472191930206,84.4918969142765,active,0.978082191780822,0.6078431372549019,0.7192156862745098,0.8451472191930206,84.4918969142765,0.0,0.0,0.0
outer_2023,RUB_UZS,1.1,active,0.978082191780822,0.6078431372549019,0.7191666666666665,0.845204825846909,84.4918969142765,active,0.978082191780822,0.6078431372549019,0.7191666666666665,0.845204825846909,84.4918969142765,0.0,0.0,0.0
outer_2023,RUB_UZS,1.2,active,0.978082191780822,0.6078431372549019,0.7172843137254901,0.8474228776840753,84.4918969142765,active,0.978082191780822,0.6078431372549019,0.7172843137254901,0.8474228776840753,84.4918969142765,0.0,0.0,0.0
outer_2023,RUB_UZS,1.3,active,0.978082191780822,0.6078431372549019,0.7168529411764705,0.8479328218383732,84.4918969142765,active,0.978082191780822,0.6078431372549019,0.7168529411764705,0.8479328218383732,84.4918969142765,0.0,0.0,0.0
outer_2023,RUB_UZS,1.4,active,0.978082191780822,0.6078431372549019,0.7183725490196078,0.846139148947785,84.4918969142765,active,0.978082191780822,0.6078431372549019,0.7183725490196078,0.846139148947785,84.4918969142765,0.0,0.0,0.0
outer_2024,RUB_AMD,0.1,active,0.2868852459016393,0.8,0.7193999999999999,1.112037809285516,16.26954243064,active,0.1912568306010929,0.8,0.70405,1.1362829344506784,21.92878775798,0.0,5.659245327339999,-0.09562841530054639
outer_2024,RUB_AMD,0.2,active,0.5355191256830601,0.8928571428571429,0.7975714285714287,1.1194698190936772,16.603121669939284,active,0.4781420765027322,0.88,0.7410599999999999,1.1874881925889942,13.676384025852,-0.0128571428571429,-2.926737644087284,-0.05737704918032793
outer_2024,RUB_AMD,0.3,active,0.5737704918032787,0.8666666666666667,0.7966000000000001,1.087957151226044,17.76742091975333,active,0.6311475409836066,0.8787878787878788,0.7860909090909091,1.117921437107282,15.885785162736369,0.012121212121212088,-1.8816357570169622,0.05737704918032793
outer_2024,RUB_AMD,0.4,active,0.6693989071038251,0.8571428571428571,0.7997000000000001,1.0718305078690222,17.16456254353428,active,0.7459016393442623,0.8974358974358975,0.784397435897436,1.1441086576336563,15.726380943269232,0.04029304029304037,-1.4381816002650485,0.07650273224043724
outer_2024,RUB_AMD,0.5,active,0.8415300546448088,0.7727272727272727,0.7466477272727272,1.034928848641656,31.259075602909093,active,0.7841530054644809,0.8048780487804879,0.7875121951219513,1.0220515361744302,29.12187697369269,0.03215077605321515,-2.137198629216403,-0.05737704918032793
outer_2024,RUB_AMD,0.6,active,0.8415300546448088,0.7272727272727273,0.7474318181818183,0.9730288563870222,49.366799204443176,active,0.8415300546448088,0.7727272727272727,0.7568181818181817,1.021021021021021,43.387397200075,0.045454545454545414,-5.9794020043681755,0.0
outer_2024,RUB_AMD,0.7,active,0.8797814207650273,0.6956521739130435,0.7397826086956523,0.9403467528651188,53.48935902129784,active,0.8415300546448088,0.7954545454545454,0.7572159090909091,1.050498987018834,41.56278945037728,0.09980237154150196,-11.926569570920556,-0.03825136612021851
outer_2024,RUB_AMD,0.8,active,0.918032786885246,0.7291666666666666,0.750125,0.9720602121868576,57.14346155465834,active,0.918032786885246,0.7291666666666666,0.75665625,0.963669654042594,53.14829686477708,0.0,-3.995164689881257,0.0
outer_2024,RUB_AMD,0.9,active,0.9754098360655736,0.6862745098039216,0.732578431372549,0.93679322297017,64.23357555513137,active,0.9371584699453552,0.7142857142857143,0.754734693877551,0.9464063598507384,54.22671959794897,0.02801120448179273,-10.006855957182395,-0.0382513661202184
outer_2024,RUB_AMD,1.0,active,1.0327868852459017,0.6851851851851852,0.7322129629629629,0.935773087671822,68.38082937778148,active,1.0327868852459017,0.6481481481481481,0.7322129629629629,0.8851907586084802,72.13589562432963,-0.03703703703703709,3.7550662465481537,0.0
