outer_fold,corridor,frontier_point_id,common_signal_count,comparison_status,left_hit_rate,right_hit_rate,delta_hit_rate,left_mean_regret_bps,right_mean_regret_bps,delta_mean_regret_bps
outer_2022,RUB_KZT,budget_06,5,active,0.8,0.2,-0.6000000000000001,55.122156411999995,203.08429641536,147.96214000336
outer_2022,RUB_KZT,budget_07,11,active,0.7272727272727273,0.2727272727272727,-0.4545454545454546,48.22563307438182,144.26741173791817,96.04177866353635
outer_2022,RUB_KZT,budget_08,22,active,0.6363636363636364,0.45454545454545453,-0.18181818181818182,66.49067765507728,121.08182816590453,54.59115051082725
outer_2022,RUB_KZT,budget_09,38,active,0.42105263157894735,0.5263157894736842,0.10526315789473684,170.48665365085523,130.3918247856079,-40.09482886524734
outer_2022,RUB_KZT,budget_10,40,active,0.5,0.5,0.0,166.75286075173,147.92596824208252,-18.82689250964748
outer_2022,RUB_KZT,budget_11,40,active,0.5,0.5,0.0,166.75286075173,147.92596824208252,-18.82689250964748
outer_2022,RUB_KZT,budget_12,40,active,0.5,0.5,0.0,166.75286075173,147.92596824208252,-18.82689250964748
outer_2022,RUB_KZT,budget_13,40,active,0.5,0.5,0.0,166.75286075173,147.92596824208252,-18.82689250964748
outer_2022,RUB_TJS,budget_00,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_01,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_02,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_03,0,inactive,,,,,,
outer_2022,RUB_TJS,budget_04,2,active,1.0,0.5,-0.5,0.0,97.5271287376,97.5271287376
outer_2022,RUB_TJS,budget_05,7,active,1.0,0.42857142857142855,-0.5714285714285714,2.7954627937285714,175.64237990952856,172.84691711579998
outer_2022,RUB_TJS,budget_06,11,active,0.9090909090909091,0.36363636363636365,-0.5454545454545454,18.109592064954544,170.63312719592724,152.5235351309727
outer_2022,RUB_TJS,budget_07,18,active,0.7222222222222222,0.5555555555555556,-0.16666666666666663,48.29651716225,111.84708726972222,63.550570107472225
outer_2022,RUB_TJS,budget_08,34,active,0.5588235294117647,0.5882352941176471,0.02941176470588236,131.43857363069705,119.3991904311206,-12.039383199576449
outer_2022,RUB_TJS,budget_09,40,active,0.475,0.5,0.025000000000000022,192.2092768808225,150.75855670035497,-41.45072018046753
outer_2022,RUB_TJS,budget_10,40,active,0.475,0.5,0.025000000000000022,192.2092768808225,150.75855670035497,-41.45072018046753
outer_2022,RUB_TJS,budget_11,40,active,0.475,0.5,0.025000000000000022,192.2092768808225,150.75855670035497,-41.45072018046753
outer_2022,RUB_TJS,budget_12,40,active,0.475,0.5,0.025000000000000022,192.2092768808225,150.75855670035497,-41.45072018046753
outer_2022,RUB_TJS,budget_13,40,active,0.475,0.5,0.025000000000000022,192.2092768808225,150.75855670035497,-41.45072018046753
outer_2022,RUB_UZS,budget_00,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_01,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_02,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_03,0,inactive,,,,,,
outer_2022,RUB_UZS,budget_04,3,active,1.0,0.3333333333333333,-0.6666666666666667,0.0,246.72843617523333,246.72843617523333
outer_2022,RUB_UZS,budget_05,7,active,1.0,0.42857142857142855,-0.5714285714285714,1.3171118600142857,183.28163214237142,181.96452028235714
outer_2022,RUB_UZS,budget_06,10,active,0.9,0.4,-0.5,22.60136348114,159.989243445,137.38787996386
