hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,hyperparameters,corridor,threshold
H007_add_usd_eur,3,0,per_corridor,logistic,2022,0.5722001914399015,0.48279609713065275,1064,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS,0.4651011255010816
H007_add_usd_eur,3,0,per_corridor,logistic,2022,0.5901336073997945,0.5068313322558062,1063,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.5713219381995203
H007_add_usd_eur,3,0,per_corridor,logistic,2022,0.6333333333333334,0.5082000371129917,1063,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.627334859092589
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.5958304853041695,0.5546758398286931,1311,243,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS,0.4982238114942337
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.5964512565589617,0.49093488694491455,1312,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.5020904847122859
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.6044642857142858,0.55583583485026,1312,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.47454059599852705
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.5210164835164836,0.4561785326583734,1310,244,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD,0.2836461815957348
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.533451077357824,0.43270491833617286,1311,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.4909945108720336
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.6266515414386762,0.6572984292772628,1557,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.5256737987540103
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.5755333333333333,0.6152527781728621,1559,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.5194387062961013
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.6048979047110636,0.641724159404305,1559,245,52,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_KGS,0.5508631566427453
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.5502,0.5927202306547185,1557,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.44678409211479964
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.6064369658119658,0.5923244990795173,1558,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT,0.521942307869794
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.6104979634739194,0.5966348526149221,1805,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.5431294357408105
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.5976572782311134,0.590321116302069,1807,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.5449722053313081
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.6087242149520431,0.6132059614652704,1807,247,52,"{""C"": 1.0, ""class_weight"": ""none""}",RUB_KGS,0.6302064335857681
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.6303834033613446,0.6227330915630309,1805,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.5466061050484824
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.6430574098798397,0.5935657080383446,1806,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.6533406740261594
H007_add_usd_eur,3,0,per_corridor,logistic,2026,0.6598107774578362,0.5934586291336518,2054,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.6341123566629224
H007_add_usd_eur,3,0,per_corridor,logistic,2026,0.5992288665793685,0.4963665914155194,2056,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.5946484979327017
H007_add_usd_eur,3,0,per_corridor,logistic,2026,0.651309053678514,0.5342562314958632,2056,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.6544257863351837
H007_add_usd_eur,3,0,per_corridor,logistic,2026,0.6949479092336236,0.6066722809755906,2054,245,52,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_AMD,0.6420409019502135
H007_add_usd_eur,3,0,per_corridor,logistic,2026,0.5947521865889213,0.48888033297483835,2055,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT,0.37674786640802344
H007_add_usd_eur,3,0,pooled_with_corridor_thresholds,logistic,2022,0.6058648001064916,0.5044663410004697,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.6495417680504093
H007_add_usd_eur,3,0,pooled_with_corridor_thresholds,logistic,2022,0.6058648001064916,0.5044663410004697,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.5906862135586322
H007_add_usd_eur,3,0,pooled_with_corridor_thresholds,logistic,2022,0.6058648001064916,0.5044663410004697,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.5623188401132936
H007_add_usd_eur,3,0,pooled_with_corridor_thresholds,logistic,2022,0.6058648001064916,0.5044663410004697,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS,0.6557597418405643
H007_add_usd_eur,3,0,pooled_with_corridor_thresholds,logistic,2022,0.6058648001064916,0.5044663410004697,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.6646512943365733
H007_add_usd_eur,3,0,pooled_with_corridor_thresholds,logistic,2023,0.5654539938217122,0.46992002258458526,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.48666416130802553
H007_add_usd_eur,3,0,pooled_with_corridor_thresholds,logistic,2023,0.5654539938217122,0.46992002258458526,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.4683694759205935
H007_add_usd_eur,3,0,pooled_with_corridor_thresholds,logistic,2023,0.5654539938217122,0.46992002258458526,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.4260841089971104
