hypothesis_id,horizon_days,strategy,model,test_year,validation_auc,feature_count,hyperparameters,corridor,threshold,test_rows,signals,signals_per_week,signal_hit_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2024,0.519507430773698,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.3431197729118685,248,54,1.0677966101694916,0.7037037037037037,0.7234444444444446,0.6481481481481481,0.7962962962962963,0.9727128449290943,-3.5448333446259266
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2024,0.519507430773698,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.384029407964517,248,54,1.0677966101694916,0.6666666666666666,0.7016296296296296,0.6199074074074075,0.7777777777777778,0.9501689189189189,-3.1722134103185193
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2024,0.519507430773698,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.33987694021850395,248,54,1.0677966101694916,0.5740740740740741,0.6196666666666667,0.5370370370370371,0.7037037037037037,0.9264240033470802,-6.359706892662961
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2024,0.519507430773698,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS,0.42740543715771334,248,51,1.0084745762711864,0.6666666666666666,0.6988235294117646,0.6078431372549019,0.7946078431372545,0.9539842873176207,-2.488617651009804
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2024,0.519507430773698,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.42024075069408307,248,52,1.0282485875706215,0.6346153846153846,0.6528461538461539,0.5576923076923077,0.75,0.9720749381406857,-6.873958045090386
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2025,0.6168897573685067,22,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD,0.5175768189474259,247,44,0.8676056338028169,0.4772727272727273,0.5186363636363636,0.4090909090909091,0.6363636363636364,0.9202453987730063,-7.869204179075002
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2025,0.6168897573685067,22,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS,0.5172400150853615,247,42,0.828169014084507,0.5476190476190477,0.5626190476190476,0.4523809523809524,0.6666666666666666,0.9733389758781212,-11.29553509307381
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2025,0.6168897573685067,22,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KZT,0.5428984527478771,247,33,0.6507042253521127,0.5757575757575758,0.5110303030303031,0.3939393939393939,0.6363636363636364,1.1266603415559773,5.379692153409091
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2025,0.6168897573685067,22,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS,0.511920156321088,247,38,0.7492957746478873,0.6578947368421053,0.6101052631578948,0.5,0.7105263157894737,1.0783298826777088,-0.7085836747210528
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2025,0.6168897573685067,22,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_UZS,0.5312518069441422,247,24,0.4732394366197183,0.5833333333333334,0.44808333333333333,0.2916666666666667,0.625,1.3018411753766042,-17.655860163899998
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2026,0.6260031424757979,22,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_AMD,0.7243240637643005,160,16,0.4912280701754386,0.75,0.54925,0.375,0.6875,1.3654984069185252,-1.2598925878562497
