hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,test_year,train_rows,validation_rows,test_rows,feature_count,hyperparameters,validation_auc,validation_pr_auc,train_target_rate,validation_target_rate,target_positives,target_rate,roc_auc,pr_auc,pr_auc_baseline,pr_auc_gain,pr_auc_ratio,brier,brier_baseline,brier_skill_score,log_loss
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2024,1559,245,248,52,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.7021754143646409,0.867583520170883,0.6484926234765875,0.7387755102040816,175,0.7056451612903226,0.6796868884540118,0.8374043425063206,0.7056451612903226,0.13175918121599794,1.186721582523243,0.19254993936632087,0.20880768765702462,0.07785991250191793,0.5666935020616145
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2024,1559,245,248,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6166250890947969,0.8303236412229473,0.6638871071199487,0.7510204081632653,182,0.7338709677419355,0.6595904095904096,0.8274221478357098,0.7338709677419355,0.09355118009377428,1.1274763333145936,0.18951854352837033,0.1955984737542153,0.031083730405201737,0.5624026910224541
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2024,1557,245,248,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6234188034188035,0.8226671218494154,0.6615285806037251,0.7346938775510204,186,0.75,0.6083073187651752,0.8100649961273633,0.75,0.06006499612736327,1.080086661503151,0.18821678978045286,0.18773427738442314,-0.0025701880485133888,0.5625912740714775
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2024,1558,245,248,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6294401818698493,0.7361023326083196,0.6880616174582799,0.6244897959183674,167,0.6733870967741935,0.5916315517113919,0.7328509425187315,0.6733870967741935,0.059463845744538,1.088305591285302,0.22039128723100138,0.22232786070320162,0.008710439915515122,0.6343069599072012
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2025,1805,247,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.7022084195997239,0.8535817262403778,0.6742382271468144,0.7449392712550608,165,0.6680161943319838,0.6605321507760532,0.8050749521224705,0.6680161943319838,0.1370587577904867,1.205172807116668,0.20625237759190945,0.22768771820551062,0.09414359624902413,0.598687082481302
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2025,1807,247,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.701936702881436,0.8484375474315862,0.6602102933038185,0.7044534412955465,140,0.5668016194331984,0.6349799732977304,0.7119252418460469,0.5668016194331984,0.14512362241284849,1.2560395338283827,0.23630864959073994,0.26448556770312576,0.10653480398602788,0.6644700890718873
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2025,1807,247,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6706847480328143,0.8344328476546643,0.6751521859435529,0.7327935222672065,158,0.6396761133603239,0.6829042810411037,0.8007313004714515,0.6396761133603239,0.16105518711112754,1.2517761469395474,0.2103798032700938,0.23916143519808555,0.12034395053764979,0.6053185036240323
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2025,1805,247,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6407149084568441,0.8208346986083579,0.6709141274238227,0.7489878542510121,151,0.611336032388664,0.700055187637969,0.8034628240210359,0.611336032388664,0.1921267916323719,1.3142736260476546,0.21370830935481772,0.25655231195397404,0.16699908986531609,0.6123311506845799
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2025,1806,247,247,52,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6201100699092668,0.7680152147660932,0.6788482834994463,0.6720647773279352,150,0.6072874493927125,0.5984879725085911,0.6996005707778395,0.6072874493927125,0.09231312138512704,1.1520089398808426,0.24199001304208853,0.24268550541723352,0.002865817527706427,0.6821496697173094
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2026,2054,245,159,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.669085739937154,0.8017359166722771,0.682570593962999,0.6653061224489796,105,0.660377358490566,0.5947089947089949,0.7682066131420472,0.660377358490566,0.10782925465148119,1.1632842999008144,0.2225762187255672,0.22430339559774623,0.007700181566918651,0.6334744708633772
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2026,2056,245,158,52,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6670052824055261,0.7470594385509467,0.6653696498054474,0.563265306122449,101,0.6392405063291139,0.6050026055237103,0.7291625019602757,0.6392405063291139,0.08992199563116177,1.1406700525715203,0.22910329757219713,0.23638431244365485,0.030801599294763893,0.6517480359643749
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2026,2056,245,160,52,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6694756554307116,0.7985221744680724,0.6819066147859922,0.636734693877551,105,0.65625,0.5740259740259741,0.7499955892628797,0.65625,0.09374558926287968,1.142850421733912,0.2318759470078736,0.22596678467305287,-0.02615057935780518,0.6546141503901294
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2026,2054,245,160,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.7322427293064878,0.8174520102049257,0.6801363193768257,0.6081632653061224,109,0.68125,0.6348264076272712,0.7818970918510328,0.68125,0.10064709185103282,1.1477388504235344,0.2122153158750531,0.22249010828821328,0.04618089537648218,0.6122416333117157
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2026,2055,245,160,52,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6241989412092503,0.729710083615011,0.678345498783455,0.6040816326530613,109,0.68125,0.5785213167835942,0.757549300527526,0.68125,0.07629930052752598,1.1119989732514144,0.2299645710382106,0.22310339441899202,-0.03075334930284912,0.6505097856334728
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_AMD,2022,5318,1223,247,57,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6705314619145246,0.8209706856101542,0.6820233170364799,0.6950122649223222,141,0.5708502024291497,0.6374949819349658,0.7081210749799773,0.5708502024291497,0.1372708725508276,1.240467415035847,0.23923382960755663,0.2603964665783069,0.08127083001099866,0.6731953972038196
