hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,train_target_rate,validation_target_rate,hyperparameters,corridor,threshold,test_rows,evaluation_weeks,target_positives,target_rate,roc_auc,pr_auc,pr_auc_baseline,pr_auc_gain,pr_auc_ratio,brier,brier_baseline,brier_skill_score,log_loss,balanced_accuracy,candidate_precision,candidate_recall,candidates,candidates_per_week,signals,signals_per_week,suppressed_by_cooldown,signal_active,signal_hits,false_pushes,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean,future_regret_bps_mean,client_advantage_rub_mean,client_regret_rub_mean
H008_pooling_ablation,3,50,per_corridor,catboost,2024,0.631235677771902,0.8409086018763171,1557,245,52,0.6634553628773282,0.746938775510204,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_TJS,0.7460767148241575,248,50.57142857142857,185,0.7459677419354839,0.6742170742170742,0.8370976720934753,0.7459677419354839,0.09112993015799142,1.1221633658334156,0.18081411154996174,0.18950081283336245,0.04583991568964596,0.5441792554185799,0.6336336336336337,0.9090909090909091,0.3783783783783784,77,1.5225988700564972,44,0.8700564971751413,33,True,42,2,0.9545454545454546,0.8486472847469684,0.987445153633019,0.045454545454545414,0.7447727272727273,0.6363636363636364,0.8409090909090909,1.2816600549282882,16.881618636118187,11.68756950694318,168.81618636118188,116.87569506943181
H008_pooling_ablation,3,50,per_corridor,catboost,2024,0.7021754143646409,0.867583520170883,1559,245,52,0.6484926234765875,0.7387755102040816,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_UZS,0.846460021902897,248,50.57142857142857,175,0.7056451612903226,0.6796868884540118,0.8374043425063206,0.7056451612903226,0.13175918121599794,1.186721582523243,0.19254993936632087,0.20880768765702462,0.07785991250191793,0.5666935020616145,0.5646183953033268,0.8604651162790697,0.21142857142857144,43,0.8502824858757062,30,0.5932203389830508,13,True,26,4,0.8666666666666667,0.7031831605558306,0.9469043057578189,0.1333333333333333,0.7029333333333332,0.5666666666666667,0.8333333333333334,1.2329286798179062,1.9099929610533333,12.472781598183333,19.09992961053333,124.72781598183333
H008_pooling_ablation,3,50,per_corridor,catboost,2024,0.6166250890947969,0.8303236412229473,1559,245,52,0.6638871071199487,0.7510204081632653,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KGS,0.7878600778883895,248,50.57142857142857,182,0.7338709677419355,0.6595904095904096,0.8274221478357098,0.7338709677419355,0.09355118009377428,1.1274763333145936,0.18951854352837033,0.1955984737542153,0.031083730405201737,0.5624026910224541,0.5657675657675658,0.8518518518518519,0.25274725274725274,54,1.0677966101694916,35,0.692090395480226,19,True,31,4,0.8857142857142857,0.7404820521187976,0.9546489414551025,0.11428571428571432,0.7346285714285715,0.6,0.8571428571428571,1.2056627255756065,8.480403040302859,12.479350740945714,84.80403040302859,124.79350740945713
H008_pooling_ablation,3,50,per_corridor,catboost,2024,0.6234188034188035,0.8226671218494154,1557,245,52,0.6615285806037251,0.7346938775510204,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_AMD,0.5983722572361327,248,50.57142857142857,186,0.75,0.6083073187651752,0.8100649961273633,0.75,0.06006499612736327,1.080086661503151,0.18821678978045286,0.18773427738442314,-0.0025701880485133888,0.5625912740714775,0.5913978494623655,0.7956989247311828,0.7956989247311828,186,3.6779661016949152,52,1.0282485875706215,134,True,39,13,0.75,0.6179328224079476,0.8476698823856113,0.25,0.7496153846153846,0.6730769230769231,0.8370192307692303,1.0005130836326321,-0.09107377092499948,55.257677991386544,-0.9107377092499948,552.5767799138654
H008_pooling_ablation,3,50,per_corridor,catboost,2024,0.6294401818698493,0.7361023326083196,1558,245,52,0.6880616174582799,0.6244897959183674,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KZT,0.766303093690098,248,50.57142857142857,167,0.6733870967741935,0.5916315517113919,0.7328509425187315,0.6733870967741935,0.059463845744538,1.088305591285302,0.22039128723100138,0.22232786070320162,0.008710439915515122,0.6343069599072012,0.5724476971981962,0.796875,0.30538922155688625,64,1.265536723163842,39,0.7711864406779662,25,True,33,6,0.8461538461538461,0.7027023013426569,0.9275262615494854,0.15384615384615385,0.671025641025641,0.5384615384615384,0.7948717948717948,1.2609858616736722,-7.7892597929307685,25.04009674483846,-77.89259792930768,250.4009674483846
H008_pooling_ablation,3,50,per_corridor,catboost,2025,0.7022084195997239,0.8535817262403778,1805,247,52,0.6742382271468144,0.7449392712550608,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_TJS,0.7769130809628544,247,50.714285714285715,165,0.6680161943319838,0.6605321507760532,0.8050749521224705,0.6680161943319838,0.1370587577904867,1.205172807116668,0.20625237759190945,0.22768771820551062,0.09414359624902413,0.598687082481302,0.5634146341463415,0.8461538461538461,0.2,39,0.7690140845070422,29,0.571830985915493,10,True,24,5,0.8275862068965517,0.6545119942718489,0.9240225472852006,0.1724137931034483,0.6678620689655173,0.5172413793103449,0.8112068965517234,1.2391573729863692,9.033646604824135,32.614202512927584,90.33646604824135,326.1420251292758
H008_pooling_ablation,3,50,per_corridor,catboost,2025,0.701936702881436,0.8484375474315862,1807,247,52,0.6602102933038185,0.7044534412955465,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_UZS,0.8608681060282369,247,50.714285714285715,140,0.5668016194331984,0.6349799732977304,0.7119252418460469,0.5668016194331984,0.14512362241284849,1.2560395338283827,0.23630864959073994,0.26448556770312576,0.10653480398602788,0.6644700890718873,0.5392857142857143,1.0,0.07857142857142857,11,0.21690140845070421,10,0.19718309859154928,1,True,10,0,1.0,0.7224598312333834,1.0,0.0,0.5644,0.3,0.8,1.771793054571226,26.955755198349998,6.24641548461,269.5575519835,62.464154846099994
H008_pooling_ablation,3,50,per_corridor,catboost,2025,0.6706847480328143,0.8344328476546643,1807,247,52,0.6751521859435529,0.7327935222672065,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KGS,0.7892713499430196,247,50.714285714285715,158,0.6396761133603239,0.6829042810411037,0.8007313004714515,0.6396761133603239,0.16105518711112754,1.2517761469395474,0.2103798032700938,0.23916143519808555,0.12034395053764979,0.6053185036240323,0.5689802304081923,0.8181818181818182,0.22784810126582278,44,0.8676056338028169,30,0.5915492957746479,14,True,22,8,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.2666666666666667,0.6501333333333332,0.5,0.8,1.1279737489745694,12.397566016433332,32.714779464643335,123.97566016433332,327.14779464643334
H008_pooling_ablation,3,50,per_corridor,catboost,2025,0.6407149084568441,0.8208346986083579,1805,247,52,0.6709141274238227,0.7489878542510121,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_AMD,0.7042823791530153,247,50.714285714285715,151,0.611336032388664,0.700055187637969,0.8034628240210359,0.611336032388664,0.1921267916323719,1.3142736260476546,0.21370830935481772,0.25655231195397404,0.16699908986531609,0.6123311506845799,0.6346923289183224,0.7619047619047619,0.5298013245033113,105,2.0704225352112675,47,0.9267605633802817,58,True,29,18,0.6170212765957447,0.4742630844397632,0.7420951733648692,0.3829787234042553,0.6172765957446809,0.48936170212765956,0.723404255319149,0.9995863780504619,7.0198663763978715,49.59902503359574,70.19866376397871,495.9902503359574
H008_pooling_ablation,3,50,per_corridor,catboost,2025,0.6201100699092668,0.7680152147660932,1806,247,52,0.6788482834994463,0.6720647773279352,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KZT,0.7728232742119538,247,50.714285714285715,150,0.6072874493927125,0.5984879725085911,0.6996005707778395,0.6072874493927125,0.09231312138512704,1.1520089398808426,0.24199001304208853,0.24268550541723352,0.002865817527706427,0.6821496697173094,0.5845017182130584,0.7704918032786885,0.31333333333333335,61,1.2028169014084507,37,0.7295774647887324,24,True,27,10,0.7297297297297297,0.5702152452607867,0.8460270175300932,0.2702702702702703,0.6103783783783784,0.47229729729729736,0.7567567567567568,1.1955366631243358,10.671370813783788,47.86014809392702,106.71370813783788,478.6014809392703
