variant,corridor,baseline,random_mode,universe_id,outcome_id,random_hit_rate,random_hit_rate_mcse,random_hit_rate_ci_low,random_hit_rate_ci_high,model_hit_rate,delta_hit_rate,lift,random_mean_regret_bps,random_p90_regret_bps,artifact_schema_version,evaluation_protocol_version,policy_version,matched_random_version
operating,RUB_KGS,future_safety,calendar_month,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5638461538461538,0.007600092651465432,0.48717948717948717,0.6865384615384614,0.6410256410256411,0.0771794871794873,1.136880400181901,109.6460200628986,305.1733740245742,3,temporal_v3,4,4
operating,RUB_KGS,future_safety,month_update_gap,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6282051282051282,0.005115106243138806,0.5499999999999999,0.6923076923076923,0.6410256410256411,0.012820512820512886,1.0204081632653061,89.91941299410156,251.1013089074595,3,temporal_v3,4,4
operating,RUB_KGS,product,calendar_month_weekday,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.5217948717948718,0.004972114271244772,0.46153846153846156,0.5769230769230769,0.6410256410256411,0.11923076923076925,1.2285012285012284,79.84152486895043,235.62900614024107,3,temporal_v3,4,4
operating,RUB_KGS,product,calendar_month,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.4297435897435897,0.006746691938369404,0.3362179487179487,0.5099358974358974,0.6410256410256411,0.21128205128205135,1.4916467780429596,106.96171183977432,308.31951147053024,3,temporal_v3,4,4
operating,RUB_KGS,product,month_update_gap,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.47615384615384615,0.005567404075405814,0.41025641025641024,0.548397435897436,0.6410256410256411,0.16487179487179493,1.3462574044157245,89.7883113119529,256.50330176983135,3,temporal_v3,4,4
operating,RUB_KGS,conditional,calendar_month_weekday,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.6658974358974359,0.0019524187503643107,0.6410256410256411,0.6923076923076923,0.6410256410256411,-0.024871794871794806,0.9626492106276474,83.56397550360288,283.30176778925653,3,temporal_v3,4,4
operating,RUB_KGS,conditional,calendar_month,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.6105128205128205,0.004912933252945959,0.5512820512820513,0.6637820512820513,0.6410256410256411,0.03051282051282056,1.0499790004199916,97.96933579505219,294.31037208801496,3,temporal_v3,4,4
operating,RUB_KGS,conditional,month_update_gap,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.6743589743589743,0.0043956043956043965,0.6182692307692308,0.7378205128205128,0.6410256410256411,-0.033333333333333215,0.9505703422053233,78.96709491747625,255.67042299322293,3,temporal_v3,4,4
operating,RUB_KZT,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6312500000000001,0.003948811497767139,0.5778125,0.6846875,0.6125,-0.018750000000000044,0.9702970297029703,82.6997808822054,246.1247504615164,3,temporal_v3,4,4
operating,RUB_KZT,future_safety,calendar_month,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5102500000000001,0.007590357067237567,0.425,0.625,0.6125,0.10224999999999995,1.2003919647231749,114.83208164067997,330.70856109978644,3,temporal_v3,4,4
operating,RUB_KZT,future_safety,month_update_gap,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5680000000000001,0.006479559697815201,0.4875,0.6471875,0.6125,0.044499999999999984,1.0783450704225352,93.74549939940962,261.0105376694692,3,temporal_v3,4,4
operating,RUB_KZT,product,calendar_month_weekday,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.4237499999999999,0.004860949138862929,0.3653125,0.475,0.6125,0.18875000000000014,1.4454277286135697,81.99240482748725,245.28682536414087,3,temporal_v3,4,4
operating,RUB_KZT,product,calendar_month,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.32849999999999996,0.006237640841320228,0.24031249999999998,0.3875,0.6125,0.2840000000000001,1.864535768645358,114.6948319740119,328.54735851075833,3,temporal_v3,4,4
