corridor,horizon_days,test_year,train_rows,validation_rows,test_rows,threshold,validation_auc,test_auc,signals,signals_per_week,signal_hit_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,future_regret_bps_mean,moment_advantage_bps_mean,moment_advantage_bps_ci_low,moment_advantage_bps_ci_high
RUB_TJS,5,2025,1802,245,247,0.6287340747308052,0.6142347166443552,0.617860440575122,25,0.49295774647887325,0.6,0.5045333333333334,0.4,0.64,1.1892177589852007,59.055582617232005,-6.625043719408,-26.65527206281839,13.405184624002393
RUB_TJS,5,2026,2051,244,158,0.5924833206436051,0.6294197031039136,0.6953213534078031,26,0.8017621145374448,0.6538461538461539,0.4608974358974359,0.34615384615384615,0.5769230769230769,1.4186369958275382,49.01176259552692,18.37467136403461,-7.19530584154624,43.94464856961547
RUB_TJS,10,2022,1054,239,246,0.401874242197984,0.46634615384615385,0.5758241758241758,16,0.3163841807909605,0.4375,0.21020833333333333,0.0625,0.375,2.0812685827552033,422.93775442949374,57.94899205316876,-60.39101330233047,176.288997408668
RUB_TJS,10,2023,1301,238,247,0.34819589498248443,0.5438075664154678,0.5376984126984127,40,0.7909604519774012,0.625,0.5460833333333334,0.45,0.625,1.1445139630703494,104.28689832273251,13.276737732045001,-20.0114790803768,46.5649545444668
RUB_TJS,10,2024,1547,240,248,0.4582364433563903,0.5549141087017742,0.5291399907596859,40,0.7909604519774012,0.55,0.5182500000000001,0.436875,0.6,1.0612638687891942,109.7597776631375,-0.3416883886899981,-23.05859299071572,22.375216213335722
RUB_TJS,10,2025,1795,242,247,0.4937643306531201,0.5640706126687435,0.6217957412179574,25,0.49295774647887325,0.48,0.37639999999999996,0.28,0.48,1.275239107332625,120.133496566516,-7.660519661896002,-40.54322969299304,25.22219036920103
RUB_TJS,10,2026,2044,240,154,0.42836191058041023,0.6330123598735269,0.6801289665705074,29,0.918552036199095,0.5172413793103449,0.4172413793103449,0.3103448275862069,0.5172413793103449,1.2396694214876032,102.59656590891726,27.998783034517245,-6.196495654385849,62.19406172342034
RUB_TJS,20,2022,1041,233,246,0.4155764045421381,0.5045787545787546,0.5716329966329966,1,0.01977401129943503,0.0,0.5566666666666666,0.0,1.0,0.0,2013.0151552311,-541.648448834,-541.648448834,-541.648448834
RUB_TJS,20,2023,1288,231,247,0.017869265887944682,0.5290448343079922,0.5157133464825773,51,1.0084745762711864,0.4117647058823529,0.44274509803921575,0.37254901960784315,0.5098039215686274,0.9300265721877766,182.05270752146865,-10.209087472249017,-60.54998993062168,40.13181498612364
RUB_TJS,20,2024,1533,232,248,0.34939670379283105,0.5712798393693761,0.4419346266276907,21,0.4152542372881356,0.2857142857142857,0.38063492063492066,0.2857142857142857,0.47619047619047616,0.750625521267723,221.69926265642383,31.354327254485717,-16.960001999907092,79.66865650887853
RUB_TJS,20,2025,1780,234,247,0.33519427917636985,0.49279560308972076,0.7442490962865593,34,0.6704225352112676,0.4411764705882353,0.33990196078431373,0.23529411764705882,0.4272058823529405,1.2979521199884625,215.65278341403825,38.697789841950005,-18.880374288233106,96.27595397213312
RUB_TJS,20,2026,2029,233,147,0.3453852666930682,0.719560878243513,0.7590081363812475,22,0.7264150943396227,0.5909090909090909,0.2545454545454545,0.13636363636363635,0.36363636363636365,2.3214285714285716,100.15288691685458,65.16424941889547,19.216692642786512,111.11180619500442
RUB_UZS,1,2022,1067,247,247,0.9444335270618055,0.6203625035400736,0.6252400768245838,16,0.3163841807909605,0.9375,0.599375,0.375,0.75,1.5641293013555788,18.69831053754375,26.36945494499375,-1.9820240969661533,54.72093398695365
RUB_UZS,1,2023,1315,246,247,0.9328458628469508,0.6079678068410462,0.6323344245781919,24,0.4745762711864407,0.9583333333333334,0.8322222222222223,0.75,0.9166666666666666,1.151535380507343,6.812298160904167,-9.5865330599125,-17.68088790602937,-1.4921782137956292
RUB_UZS,1,2024,1562,247,248,0.8350208674914341,0.6461848400906572,0.7178394722374931,49,0.9689265536723164,0.8571428571428571,0.831360544217687,0.7551020408163265,0.9183673469387755,1.0310121921283038,24.816700951532656,-3.3541719660081633,-12.557665443014196,5.84932151099787
RUB_UZS,1,2025,1810,248,247,0.8826644236442458,0.7247113798790544,0.6696802276912774,48,0.9464788732394366,0.9375,0.6613888888888889,0.5625,0.7708333333333334,1.4174716505669887,9.533982846964584,-2.573769567297917,-11.488565568891877,6.341026434296042
RUB_UZS,1,2026,2058,246,159,0.9201716627390472,0.6688552188552188,0.6489415322580645,29,0.8787878787878788,0.9655172413793104,0.7655172413793103,0.6206896551724138,0.896551724137931,1.2612612612612613,4.540813410713793,-7.034600398637931,-16.99328913668095,2.9240883394050865
RUB_UZS,3,2022,1064,245,247,0.7975617493078295,0.6210661528580603,0.6330299432792508,21,0.4152542372881356,0.6190476190476191,0.3098412698412698,0.1654761904761905,0.47619047619047616,1.9979508196721314,91.93983841406191,8.952755932333336,-20.17429640885857,38.079808273525245
RUB_UZS,3,2023,1312,244,247,0.674833983680171,0.6141098484848485,0.6331360946745562,41,0.8107344632768362,0.7804878048780488,0.6908943089430893,0.5853658536585366,0.7804878048780488,1.129677571193222,35.242631765748776,10.913040534760976,-4.38657178543593,26.21265285495788
RUB_UZS,3,2024,1559,245,248,0.698434721729402,0.6281077348066298,0.6817221135029354,50,0.9887005649717514,0.78,0.6397999999999999,0.54,0.72,1.2191309784307598,30.091674105665998,-2.600424451228,-18.418814094745844,13.217965192289842
RUB_UZS,3,2025,1807,247,247,0.8410087928302384,0.6861911509998425,0.6184913217623498,26,0.5126760563380282,0.6923076923076923,0.45769230769230773,0.3076923076923077,0.6153846153846154,1.5126050420168065,28.307309557934612,-4.31660440201923,-21.463648730239406,12.830439926200945
RUB_UZS,3,2026,2056,245,158,0.8636185114870514,0.6207503724773128,0.5822476984540559,6,0.1842105263157895,0.6666666666666666,0.44,0.16666666666666666,0.8333333333333334,1.5151515151515151,39.31614060248333,-29.764630977266663,-53.04572242887276,-6.483539525660568
RUB_UZS,5,2022,1063,244,247,0.5837362828996578,0.4826826413275494,0.5061418570862501,22,0.43502824858757067,0.5,0.26136363636363635,0.13636363636363635,0.4090909090909091,1.9130434782608696,155.61199691346818,20.43469613580909,-38.25657449210332,79.1259667637215
RUB_UZS,5,2023,1310,242,247,0.0055844633115794155,0.4649449035812672,0.5574895276614185,51,1.0084745762711864,0.5490196078431373,0.6166666666666667,0.5490196078431373,0.7058823529411765,0.890302066772655,92.65655837746668,-10.50463782344314,-33.12861481885656,12.119339171970285
RUB_UZS,5,2024,1556,243,248,0.5751062330054468,0.5606927710843373,0.6046559823155567,38,0.7514124293785311,0.631578947368421,0.5535087719298246,0.4473684210526316,0.6578947368421053,1.1410459587955624,46.34072467806579,-18.0233638159079,-33.45991114313185,-2.5868164886839473
RUB_UZS,5,2025,1804,245,247,0.616565141013922,0.6176553473298577,0.5195652173913043,25,0.49295774647887325,0.52,0.4066666666666667,0.28,0.52,1.278688524590164,73.928371661124,-20.443239674727998,-41.63497315352686,0.7484938040708577
RUB_UZS,5,2026,2053,244,157,0.6402989631984461,0.5192099567099567,0.5708126036484246,5,0.1541850220264317,0.6,0.3566666666666667,0.2,0.6,1.6822429906542054,24.394386354279998,-14.40954195804,-46.47873221583842,17.659648299758416
RUB_UZS,10,2022,1054,240,247,0.3532253214647972,0.4498640893989731,0.47646138529369936,30,0.5932203389830508,0.26666666666666666,0.202,0.1,0.3,1.3201320132013201,391.20847316703333,39.04740539750333,-31.192196532402868,109.28700732740953
RUB_UZS,10,2023,1302,239,247,3.4293370260369224e-05,0.4496124031007752,0.5827092366311917,51,1.0084745762711864,0.43137254901960786,0.4815032679738563,0.4117647058823529,0.5490196078431373,0.8958870639337586,143.33602314779216,-10.006015436972552,-42.96640728404577,22.954376410100664
RUB_UZS,10,2024,1549,240,248,0.38154319090831446,0.6026785714285714,0.6433775696070778,44,0.8700564971751413,0.5,0.4708333333333333,0.36363636363636365,0.5454545454545454,1.0619469026548674,98.33559156580682,-5.444437023911362,-27.79419654003232,16.905322492209596
RUB_UZS,10,2025,1797,242,247,0.5423649658746063,0.6502015440322471,0.5327777777777778,1,0.019718309859154928,0.0,0.7633333333333333,0.0,1.0,0.0,106.4590267262,-106.7056862101,-106.7056862101,-106.7056862101
RUB_UZS,10,2026,2046,240,153,0.34586711528222475,0.5347127222982216,0.592502603262756,30,0.9502262443438914,0.4,0.3897777777777778,0.3,0.4666666666666667,1.0262257696693273,132.0192519731767,12.77363827329,-19.05174417312199,44.59902071970199
RUB_UZS,20,2022,1041,234,247,0.18228107657758658,0.38608695652173913,0.4872881355932203,35,0.692090395480226,0.17142857142857143,0.14352380952380953,0.08571428571428572,0.22857142857142856,1.19442601194426,439.86341218463997,99.98592457494856,-8.06494557036973,208.03679472026684
RUB_UZS,20,2023,1289,232,247,0.0011073759004434972,0.441025641025641,0.6161548731642189,51,1.0084745762711864,0.35294117647058826,0.41091503267973856,0.3333333333333333,0.49019607843137253,0.8589152218864324,197.92017362242746,-7.693736392658823,-57.02173935638883,41.63426657107119
RUB_UZS,20,2024,1535,232,248,0.20563273218876138,0.6463800904977376,0.5855263157894737,53,1.0480225988700564,0.33962264150943394,0.37182389937106924,0.3018867924528302,0.4339622641509434,0.9133964817320701,170.10611710474717,9.438074011758491,-18.83532067579582,37.7114686993128
RUB_UZS,20,2025,1782,234,247,0.2864496733278088,0.6209868069854343,0.4878375592661307,35,0.6901408450704225,0.2,0.21685714285714283,0.12785714285714286,0.3142857142857143,0.9222661396574442,273.27071949910567,-25.79584270996286,-68.4140206379853,16.82233521805959
RUB_UZS,20,2026,2031,233,146,0.2491419861984839,0.5225528946756568,0.6024096385542169,25,0.8254716981132075,0.48,0.31479999999999997,0.2,0.44,1.5247776365946635,167.808348719228,34.112065063496,-15.382667744480955,83.60679787147295
RUB_KGS,1,2022,1067,247,247,0.9551640744311837,0.6323344245781919,0.6809951188789167,3,0.059322033898305086,1.0,0.8933333333333333,0.6666666666666666,1.0,1.119402985074627,0.0,-2.944754724633333,-11.745076495246213,5.855567045979548
