policy,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
fast,RUB_KGS,3,2022,0.9197260264850636,0,0.0,,,,,,
slow,RUB_KGS,3,2022,0.9197260264850636,0,0.0,,,,,,
fast,RUB_KGS,3,2023,0.7696206331377085,27,0.5338983050847458,0.8888888888888888,0.7371604938271605,1.2058281694858481,,,
slow,RUB_KGS,3,2023,0.7696206331377085,9,0.17796610169491525,0.8888888888888888,0.7896296296296296,1.125703564727955,1.0,26.011217966602768,13.797392098564565
fast,RUB_KGS,3,2024,0.8035553211530908,28,0.5536723163841808,0.8571428571428571,0.6548809523809525,1.3088529358298489,,,
slow,RUB_KGS,3,2024,0.8035553211530908,8,0.15819209039548024,0.625,0.6891666666666667,0.9068923821039903,1.0,51.99753517424077,12.479939768822446
fast,RUB_KGS,3,2025,0.762487437628315,48,0.9464788732394366,0.75,0.5494444444444445,1.3650151668351869,,,
slow,RUB_KGS,3,2025,0.762487437628315,31,0.6112676056338028,0.8387096774193549,0.5240860215053764,1.6003282724661467,1.0,3.9324837675206705,5.448549337554454
fast,RUB_KGS,3,2026,0.7660832828953337,32,0.9824561403508772,0.8125,0.5988541666666667,1.3567576969907809,,,
slow,RUB_KGS,3,2026,0.7660832828953337,23,0.7061403508771931,0.782608695652174,0.5195652173913042,1.5062761506276154,1.0,-6.2940183770299205,-4.287095153973075
fast,RUB_KGS,5,2022,0.7657289696648125,1,0.01977401129943503,0.0,0.5,0.0,,,
slow,RUB_KGS,5,2022,0.7657289696648125,0,0.0,,,,,,
fast,RUB_KGS,5,2023,0.5176639325341013,24,0.4745762711864407,0.6666666666666666,0.6984722222222223,0.9544641081725989,,,
slow,RUB_KGS,5,2023,0.5176639325341013,17,0.3361581920903955,0.7058823529411765,0.6654901960784313,1.0606953447259873,1.2352941176470589,-23.609394685281245,-16.234654016361596
fast,RUB_KGS,5,2024,0.5824175949971064,27,0.5338983050847458,0.7777777777777778,0.5890123456790123,1.3204778872353806,,,
slow,RUB_KGS,5,2024,0.5824175949971064,13,0.2570621468926554,0.5384615384615384,0.6912820512820513,0.7789317507418396,1.7692307692307692,0.21853359693504942,-3.188645569310866
fast,RUB_KGS,5,2025,0.5700484405673145,45,0.8873239436619718,0.5111111111111111,0.49496296296296294,1.032624962586052,,,
slow,RUB_KGS,5,2025,0.5700484405673145,32,0.6309859154929577,0.59375,0.4946875,1.2002526847757422,1.6875,-4.441994720045909,-4.269052992630362
fast,RUB_KGS,5,2026,0.643039289154239,25,0.7709251101321586,0.76,0.4576,1.6608391608391608,,,
slow,RUB_KGS,5,2026,0.643039289154239,8,0.24669603524229072,0.625,0.45875,1.3623978201634879,1.25,9.154215519883577,7.6988828229701545
fast,RUB_KGS,10,2022,0.6247236060736665,0,0.0,,,,,,
slow,RUB_KGS,10,2022,0.6247236060736665,0,0.0,,,,,,
fast,RUB_KGS,10,2023,0.3752331615320737,20,0.3954802259887006,0.4,0.6453333333333334,0.6198347107438016,,,
slow,RUB_KGS,10,2023,0.3752331615320737,13,0.2570621468926554,0.5384615384615384,0.7025641025641026,0.7664233576642335,1.7692307692307692,1.1650999080672686,11.106656764874323
fast,RUB_KGS,10,2024,0.10662703551190235,54,1.0677966101694916,0.5185185185185185,0.5412345679012346,0.9580291970802919,,,
slow,RUB_KGS,10,2024,0.10662703551190235,54,1.0677966101694916,0.5185185185185185,0.5473456790123457,0.9473328070373294,2.5925925925925926,6.433692931985505,1.7794773659396412
fast,RUB_KGS,10,2025,0.4500018572102868,31,0.6112676056338028,0.22580645161290322,0.33086021505376345,0.6824829379265518,,,
slow,RUB_KGS,10,2025,0.4500018572102868,21,0.4140845070422535,0.19047619047619047,0.16587301587301587,1.1483253588516746,2.0476190476190474,-15.696794735645193,-13.098200531544979
fast,RUB_KGS,10,2026,0.5163976769722469,16,0.5067873303167421,0.5625,0.33770833333333333,1.6656384947563232,,,
slow,RUB_KGS,10,2026,0.5163976769722469,7,0.22171945701357465,0.42857142857142855,0.33238095238095233,1.2893982808022924,1.2857142857142858,-0.6309174036968527,-15.029913735775668
fast,RUB_KGS,20,2022,0.525390198647644,0,0.0,,,,,,
slow,RUB_KGS,20,2022,0.525390198647644,0,0.0,,,,,,
fast,RUB_KGS,20,2023,0.1596246519537815,24,0.4745762711864407,0.5,0.6297222222222223,0.7940008822232024,,,
slow,RUB_KGS,20,2023,0.1596246519537815,20,0.3954802259887006,0.45,0.5976666666666666,0.7529280535415506,2.3,-7.7287817759550395,4.678461121735422
fast,RUB_KGS,20,2024,0.28514196826872923,29,0.5734463276836158,0.4482758620689655,0.3648275862068966,1.2287334593572778,,,
slow,RUB_KGS,20,2024,0.28514196826872923,27,0.5338983050847458,0.48148148148148145,0.3772839506172839,1.2761780104712042,2.185185185185185,-3.306742579950245,-1.8742663233795032
fast,RUB_KGS,20,2025,0.32572295176336374,37,0.7295774647887324,0.1891891891891892,0.250990990990991,0.7537688442211056,,,
