indicator,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift
reversal,RUB_TJS,5,2023,-0.11165736022589556,51,1.0084745762711864,0.5882352941176471,0.632483660130719,0.930040301746409
seasonality,RUB_TJS,5,2023,0.5606060606060606,19,0.37570621468926557,0.42105263157894735,0.6508771929824562,0.6469002695417789
momentum,RUB_TJS,5,2024,-0.03949490767638582,54,1.0677966101694916,0.5925925925925926,0.6381481481481482,0.9286128845037723
level,RUB_TJS,5,2024,-0.0700004897685991,54,1.0677966101694916,0.6111111111111112,0.6377777777777777,0.9581881533101048
reversal,RUB_TJS,5,2024,-0.07623803193060735,54,1.0677966101694916,0.5925925925925926,0.6414814814814814,0.9237875288683604
seasonality,RUB_TJS,5,2024,0.44,54,1.0677966101694916,0.5925925925925926,0.6387654320987654,0.9277155005798222
momentum,RUB_TJS,5,2025,-0.013097436648611648,52,1.0253521126760563,0.5,0.5277564102564102,0.9474067776023322
level,RUB_TJS,5,2025,-9.586152118522715e-06,13,0.2563380281690141,0.3076923076923077,0.3687179487179487,0.8344923504867873
reversal,RUB_TJS,5,2025,-0.00421785323284285,16,0.31549295774647884,0.5625,0.3747916666666667,1.500833796553641
seasonality,RUB_TJS,5,2025,0.5884864864864872,18,0.3549295774647887,0.5555555555555556,0.3872222222222222,1.4347202295552368
momentum,RUB_TJS,5,2026,-0.011954939489821015,31,0.9559471365638766,0.4838709677419355,0.5097849462365591,0.9491668424383042
level,RUB_TJS,5,2026,-0.050311383572552514,26,0.8017621145374448,0.38461538461538464,0.46615384615384614,0.8250825082508252
reversal,RUB_TJS,5,2026,-0.008607786465604544,17,0.5242290748898678,0.4117647058823529,0.3901960784313725,1.0552763819095479
seasonality,RUB_TJS,5,2026,0.5022439917462374,30,0.9251101321585903,0.5,0.5077777777777777,0.9846827133479215
momentum,RUB_TJS,10,2022,0.004333737193310156,39,0.7711864406779662,0.28205128205128205,0.2568376068376068,1.0981697171381033
level,RUB_TJS,10,2022,-0.0002909302275431281,12,0.23728813559322035,0.08333333333333333,0.2844444444444444,0.29296875000000006
reversal,RUB_TJS,10,2022,-0.0004040693186581273,14,0.2768361581920904,0.35714285714285715,0.23999999999999996,1.4880952380952384
seasonality,RUB_TJS,10,2022,0.47936291000841047,15,0.2966101694915254,0.4,0.2202222222222222,1.8163471241170537
momentum,RUB_TJS,10,2023,-0.1477252734433555,51,1.0084745762711864,0.49019607843137253,0.5077124183006536,0.9654994850669413
level,RUB_TJS,10,2023,-0.10763580650865714,51,1.0084745762711864,0.49019607843137253,0.5104575163398692,0.9603072983354674
reversal,RUB_TJS,10,2023,-0.10732988624852788,51,1.0084745762711864,0.5098039215686274,0.5101960784313726,0.9992313604919291
seasonality,RUB_TJS,10,2023,0.3712121212121212,44,0.8700564971751413,0.4772727272727273,0.5222727272727273,0.9138381201044385
momentum,RUB_TJS,10,2024,-0.004346536299515982,46,0.9096045197740114,0.5434782608695652,0.5420289855072464,1.0026737967914436
level,RUB_TJS,10,2024,-0.025308855341861013,33,0.652542372881356,0.5454545454545454,0.46080808080808083,1.183691363437089
reversal,RUB_TJS,10,2024,-0.02652614761348045,32,0.632768361581921,0.53125,0.4579166666666667,1.1601455868971793
seasonality,RUB_TJS,10,2024,0.32,54,1.0677966101694916,0.5,0.5237654320987654,0.9546258102533884
momentum,RUB_TJS,10,2025,-0.0030073695796263983,42,0.828169014084507,0.3333333333333333,0.42333333333333334,0.7874015748031495
level,RUB_TJS,10,2025,-0.049207693136406515,53,1.0450704225352112,0.41509433962264153,0.41465408805031445,1.0010617321401487
reversal,RUB_TJS,10,2025,-0.0231231097657227,26,0.5126760563380282,0.46153846153846156,0.38666666666666666,1.193633952254642
seasonality,RUB_TJS,10,2025,0.3505747126436782,49,0.9661971830985915,0.42857142857142855,0.39768707482993193,1.077659938419432
momentum,RUB_TJS,10,2026,-0.04703018725308272,32,1.0135746606334841,0.375,0.433125,0.8658008658008658
level,RUB_TJS,10,2026,-0.030033588231296548,22,0.6968325791855203,0.2727272727272727,0.33106060606060606,0.8237986270022882
reversal,RUB_TJS,10,2026,-0.009440935499113887,17,0.5384615384615384,0.35294117647058826,0.3005882352941176,1.1741682974559688
seasonality,RUB_TJS,10,2026,0.3918918918918919,29,0.918552036199095,0.41379310344827586,0.4248275862068966,0.9740259740259739
momentum,RUB_TJS,20,2022,0.0036714065270896604,39,0.7711864406779662,0.1794871794871795,0.18880341880341878,0.9506564056133998
level,RUB_TJS,20,2022,-0.0025253605604878653,13,0.2570621468926554,0.15384615384615385,0.18820512820512822,0.8174386920980926
reversal,RUB_TJS,20,2022,-7.99799936522082e-05,14,0.2768361581920904,0.35714285714285715,0.17428571428571427,2.0491803278688527
seasonality,RUB_TJS,20,2022,0.3093827160493827,27,0.5338983050847458,0.2222222222222222,0.17283950617283952,1.2857142857142856
momentum,RUB_TJS,20,2023,-0.14849463680741143,51,1.0084745762711864,0.4117647058823529,0.4412418300653595,0.9331950822100429
level,RUB_TJS,20,2023,-0.04482743192304485,37,0.731638418079096,0.40540540540540543,0.5210810810810811,0.7780082987551867
reversal,RUB_TJS,20,2023,-0.006248054419752624,7,0.1384180790960452,0.2857142857142857,0.5204761904761903,0.5489478499542545
seasonality,RUB_TJS,20,2023,0.3442622950819672,19,0.37570621468926557,0.5263157894736842,0.5064912280701753,1.0391409767925184
momentum,RUB_TJS,20,2024,-0.004518624434020904,46,0.9096045197740114,0.45652173913043476,0.4213768115942029,1.0834049871023215
level,RUB_TJS,20,2024,-0.02556468782558403,33,0.652542372881356,0.48484848484848486,0.3255555555555556,1.4892956872479055
reversal,RUB_TJS,20,2024,-0.019299179564065592,30,0.5932203389830508,0.5,0.32655555555555554,1.5311330384484518
seasonality,RUB_TJS,20,2024,0.2631578947368421,36,0.711864406779661,0.4444444444444444,0.35944444444444446,1.2364760432766615
momentum,RUB_TJS,20,2025,-0.0016932243770896552,41,0.8084507042253521,0.24390243902439024,0.3038211382113821,0.8027829810008027
level,RUB_TJS,20,2025,-0.04887369894445348,53,1.0450704225352112,0.3018867924528302,0.27264150943396226,1.1072664359861593
reversal,RUB_TJS,20,2025,-0.02481650249893541,29,0.571830985915493,0.3448275862068966,0.32873563218390806,1.048951048951049
seasonality,RUB_TJS,20,2025,0.2277810581010865,49,0.9661971830985915,0.32653061224489793,0.28061224489795916,1.1636363636363636
momentum,RUB_TJS,20,2026,-0.020768969653981183,30,0.9905660377358491,0.3333333333333333,0.37977777777777777,0.8777062609713282
level,RUB_TJS,20,2026,-0.03241324454555965,22,0.7264150943396227,0.22727272727272727,0.24499999999999994,0.9276437847866421
reversal,RUB_TJS,20,2026,-0.011432907010645943,17,0.5613207547169812,0.23529411764705882,0.20588235294117646,1.1428571428571428
seasonality,RUB_TJS,20,2026,0.38030146231721046,14,0.46226415094339623,0.5,0.2257142857142857,2.2151898734177218
momentum,RUB_UZS,1,2022,0.00514096896805596,38,0.7514124293785311,0.631578947368421,0.6085087719298246,1.037912642352602
level,RUB_UZS,1,2022,-0.006578552247302294,19,0.37570621468926557,0.5263157894736842,0.5664912280701754,0.9290802105915145
reversal,RUB_UZS,1,2022,-0.00838167874828028,20,0.3954802259887006,0.8,0.5701666666666667,1.4030985092078339
seasonality,RUB_UZS,1,2022,0.7283950617283951,52,1.0282485875706215,0.6538461538461539,0.6860897435897435,0.9530038307016726
momentum,RUB_UZS,1,2023,-0.12334572914573998,51,1.0084745762711864,0.7058823529411765,0.79718954248366,0.8854636385996558
level,RUB_UZS,1,2023,-0.12325014507425598,51,1.0084745762711864,0.7058823529411765,0.802549019607843,0.8795504519912047
reversal,RUB_UZS,1,2023,-0.012027781495485168,15,0.2966101694915254,0.6,0.8595555555555556,0.6980351602895553
seasonality,RUB_UZS,1,2023,0.8600928641251222,15,0.2966101694915254,0.7333333333333333,0.8644444444444446,0.8483290488431875
momentum,RUB_UZS,1,2024,-0.019451583075191396,52,1.0282485875706215,0.7884615384615384,0.8294871794871793,0.9505409582689337
level,RUB_UZS,1,2024,-0.0645754723409624,52,1.0282485875706215,0.8076923076923077,0.8355769230769231,0.9666283084004603
reversal,RUB_UZS,1,2024,-0.09028176134477678,54,1.0677966101694916,0.8148148148148148,0.844753086419753,0.9645597369382536
seasonality,RUB_UZS,1,2024,0.688,54,1.0677966101694916,0.8148148148148148,0.8441975308641974,0.9651945013161745
momentum,RUB_UZS,1,2025,-0.0011943623694713182,45,0.8873239436619718,0.6666666666666666,0.6623703703703704,1.0064862446879892
level,RUB_UZS,1,2025,-0.03711951348675371,48,0.9464788732394366,0.625,0.6665972222222223,0.9375976664235857
reversal,RUB_UZS,1,2025,-0.06308802912597049,53,1.0450704225352112,0.6037735849056604,0.6842138364779874,0.8824340472469896
seasonality,RUB_UZS,1,2025,0.8076923076923077,24,0.4732394366197183,0.5833333333333334,0.5956944444444444,0.9792492422476102
momentum,RUB_UZS,1,2026,0.0046920278465832025,20,0.6060606060606061,0.65,0.7496666666666666,0.8670520231213874
level,RUB_UZS,1,2026,-0.002664939582043044,8,0.24242424242424243,0.5,0.82,0.6097560975609756
reversal,RUB_UZS,1,2026,-0.004927435287112397,9,0.2727272727272727,0.7777777777777778,0.8366666666666667,0.9296148738379815
seasonality,RUB_UZS,1,2026,0.8010471204188482,19,0.5757575757575758,0.8947368421052632,0.7463157894736842,1.1988716502115657
momentum,RUB_UZS,3,2022,0.005188603093490653,38,0.7514124293785311,0.42105263157894735,0.38289473684210523,1.0996563573883162
level,RUB_UZS,3,2022,-0.0029759003962438147,16,0.3163841807909605,0.25,0.3383333333333333,0.7389162561576355
reversal,RUB_UZS,3,2022,-0.0052925627790188605,19,0.37570621468926557,0.5789473684210527,0.31491228070175437,1.838440111420613
seasonality,RUB_UZS,3,2022,0.6024096385542169,45,0.8898305084745763,0.4444444444444444,0.426962962962963,1.0409437890353919
momentum,RUB_UZS,3,2023,-0.005435572118957454,45,0.8898305084745763,0.6,0.670962962962963,0.8942371384411569
level,RUB_UZS,3,2023,-0.12000165330082489,51,1.0084745762711864,0.6078431372549019,0.6771895424836603,0.8975967570697807
reversal,RUB_UZS,3,2023,-0.0006417527545199649,8,0.15819209039548024,0.75,0.8475,0.8849557522123893
seasonality,RUB_UZS,3,2023,0.6893939393939394,15,0.2966101694915254,0.5333333333333333,0.7964444444444445,0.6696428571428571
momentum,RUB_UZS,3,2024,-0.057279985510964915,54,1.0677966101694916,0.6111111111111112,0.6609876543209877,0.9245423982069481
level,RUB_UZS,3,2024,-0.0761567085911391,54,1.0677966101694916,0.6111111111111112,0.6601234567901234,0.9257527585561999
reversal,RUB_UZS,3,2024,-0.07469403063273596,54,1.0677966101694916,0.6111111111111112,0.6610493827160494,0.9244560649920628
seasonality,RUB_UZS,3,2024,0.536,54,1.0677966101694916,0.6111111111111112,0.662283950617284,0.9227327803150341
momentum,RUB_UZS,3,2025,-0.001150883674714886,45,0.8873239436619718,0.4444444444444444,0.4957037037037037,0.8965929468021517
level,RUB_UZS,3,2025,-0.03721829504651501,48,0.9464788732394366,0.4375,0.5077777777777778,0.861597374179431
reversal,RUB_UZS,3,2025,-0.0005520871298448797,18,0.3549295774647887,0.6111111111111112,0.4146296296296296,1.4738722644037519
seasonality,RUB_UZS,3,2025,0.6781609195402298,27,0.532394366197183,0.4444444444444444,0.4571604938271605,0.9721847150958681
momentum,RUB_UZS,3,2026,0.004523714237921876,20,0.6140350877192983,0.4,0.521,0.7677543186180422
level,RUB_UZS,3,2026,-0.0026219763125330114,8,0.2456140350877193,0.25,0.5720833333333334,0.4369992716678805
reversal,RUB_UZS,3,2026,-0.0015150978594853418,5,0.15350877192982457,0.8,0.35533333333333333,2.25140712945591
seasonality,RUB_UZS,3,2026,0.6006476520642925,30,0.9210526315789475,0.5666666666666667,0.5715555555555555,0.9914463452566098
momentum,RUB_UZS,5,2022,0.00521755997037799,38,0.7514124293785311,0.34210526315789475,0.34192982456140353,1.0005130836326321
level,RUB_UZS,5,2022,-0.0017425506163648483,16,0.3163841807909605,0.1875,0.2939583333333333,0.6378454996456414
reversal,RUB_UZS,5,2022,-0.0011739638452092221,17,0.3361581920903955,0.5294117647058824,0.28254901960784307,1.8736988202637062
seasonality,RUB_UZS,5,2022,0.43017600934267614,48,0.9491525423728814,0.3958333333333333,0.4101388888888889,0.9651202167287504
momentum,RUB_UZS,5,2023,-0.005539576483023719,45,0.8898305084745763,0.5111111111111111,0.6185925925925926,0.8262483534905999
level,RUB_UZS,5,2023,-0.12261899347713882,51,1.0084745762711864,0.5490196078431373,0.6188888888888888,0.887105290949414
reversal,RUB_UZS,5,2023,-0.0005897390300424509,8,0.15819209039548024,0.625,0.8275,0.7552870090634441
seasonality,RUB_UZS,5,2023,0.5049230769230769,39,0.7711864406779662,0.5641025641025641,0.6540170940170941,0.8625196027182436
momentum,RUB_UZS,5,2024,-0.0183606462371697,52,1.0282485875706215,0.5769230769230769,0.605576923076923,0.952683391552874
level,RUB_UZS,5,2024,-0.07693093958059005,54,1.0677966101694916,0.5925925925925926,0.6138271604938271,0.9654062751407884
reversal,RUB_UZS,5,2024,-0.021760337134326607,33,0.652542372881356,0.6060606060606061,0.5375757575757575,1.1273957158962797
seasonality,RUB_UZS,5,2024,0.4,54,1.0677966101694916,0.5925925925925926,0.6062345679012346,0.9774971998778127
momentum,RUB_UZS,5,2025,0.015965522455621058,23,0.4535211267605634,0.391304347826087,0.3855072463768116,1.0150375939849625
