indicator,corridor,horizon_days,folds,signals,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3
reversal,RUB_TJS,5,5,153,0.5620915032679739,0.5523311546840958,1.017671189649732,1.0552763819095479,0.9237875288683604,2
momentum,RUB_KZT,10,5,177,0.3559322033898305,0.35169491525423735,1.012048192771084,1.0541110330288124,0.9351343327890751,0
seasonality,RUB_TJS,1,5,146,0.7671232876712328,0.7561643835616438,1.0144927536231882,1.0223953261927945,0.680426400544341,0
seasonality,RUB_UZS,10,5,176,0.39204545454545453,0.398030303030303,0.9849638370765131,1.0222804718217564,0.8247089262613198,1
momentum,RUB_KZT,1,5,195,0.676923076923077,0.7099487179487179,0.9534816527015314,1.0199125789218066,0.8246005840920804,0
momentum,RUB_KGS,20,5,201,0.3333333333333333,0.3313764510779436,1.005905314783305,1.0197775030902347,0.7970244420828907,0
level,RUB_KZT,10,5,173,0.3815028901734104,0.37487475915221585,1.0176809210526314,1.0192023633677991,0.7657945118059988,0
reversal,RUB_KGS,1,5,111,0.8288288288288288,0.7730030030030031,1.0722194164950856,1.0135135135135134,0.7367990176013098,1
reversal,RUB_KGS,10,5,188,0.44680851063829785,0.442854609929078,1.0089282139568403,1.0120481927710845,0.9294696555494806,1
seasonality,RUB_KGS,10,5,195,0.4358974358974359,0.4105299145299145,1.061792138574284,1.005961251862891,0.9677419354838708,1
momentum,RUB_KZT,5,5,177,0.4632768361581921,0.45757062146892663,1.0124706753920236,1.002865329512894,0.9527170077628795,0
reversal,RUB_KGS,3,5,117,0.6495726495726496,0.602079772079772,1.078881370368618,1.0023866348448687,0.7802340702210663,1
reversal,RUB_TJS,1,5,106,0.8113207547169812,0.7501886792452831,1.0814889336016096,0.9999999999999999,0.7339449541284404,1
seasonality,RUB_KGS,3,5,168,0.5535714285714286,0.5959722222222221,0.9288544128907683,0.9988554780980129,0.7218212104386452,0
momentum,RUB_KGS,10,5,205,0.424390243902439,0.4140975609756097,1.0248556956060786,0.9983361064891847,0.9262832883056735,0
reversal,RUB_AMD,10,5,161,0.42857142857142855,0.4468944099378882,0.9589993050729673,0.9953785993601137,0.8092202059833251,1
reversal,RUB_KZT,10,5,169,0.38461538461538464,0.3712426035502959,1.0360216767612367,0.9872849663425579,0.6622516556291391,2
seasonality,RUB_KGS,5,5,141,0.524822695035461,0.5134751773049646,1.0220994475138119,0.9865175928970733,0.7025761124121781,2
reversal,RUB_UZS,10,5,144,0.375,0.35692129629629626,1.050651793242104,0.9856262833675565,0.516795865633075,1
seasonality,RUB_TJS,5,5,136,0.5441176470588235,0.544142156862745,0.9999549569839197,0.9846827133479215,0.6469002695417789,2
seasonality,RUB_AMD,10,5,193,0.38860103626943004,0.3973747841105353,0.9779207232267041,0.9843513377082281,0.8735213830755231,0
momentum,RUB_UZS,10,5,182,0.37362637362637363,0.37043956043956044,1.0086027884900624,0.9841443411700381,0.898972602739726,1
level,RUB_AMD,20,5,137,0.30656934306569344,0.3593187347931874,0.8531960996749729,0.9803921568627451,0.0,0
reversal,RUB_KZT,20,5,142,0.2746478873239437,0.2946713615023474,0.9320481159882101,0.9779951100244498,0.42820439623180134,2
seasonality,RUB_AMD,1,5,165,0.7151515151515152,0.7565858585858586,0.9452351072067502,0.9756550826983834,0.7990984530273537,0
level,RUB_AMD,10,5,180,0.42777777777777776,0.45007407407407407,0.9504608294930875,0.975487743871936,0.6206896551724137,0
reversal,RUB_AMD,3,5,103,0.6504854368932039,0.6072815533980582,1.071143085531575,0.9748589020010262,0.7109004739336493,2
seasonality,RUB_TJS,10,5,191,0.45549738219895286,0.45221640488656195,1.007255325717814,0.9740259740259739,0.9138381201044385,1
reversal,RUB_KZT,1,5,135,0.7333333333333333,0.7449382716049381,0.9844216108717271,0.9738053898996001,0.8158508158508159,0
reversal,RUB_AMD,1,5,115,0.808695652173913,0.7732173913043477,1.045883940620783,0.9729729729729732,0.8782201405152226,0
level,RUB_KGS,20,5,178,0.34831460674157305,0.35531835205992507,0.9802888162749026,0.9723788049605413,0.5410279531109109,1
seasonality,RUB_UZS,3,5,171,0.5263157894736842,0.5638206627680312,0.9334808463559673,0.9721847150958681,0.6696428571428571,0
seasonality,RUB_KGS,20,5,187,0.3315508021390374,0.3239572192513369,1.0234400792340705,0.9718172983479105,0.8224185196466646,1
momentum,RUB_AMD,3,5,209,0.5406698564593302,0.5984370015948963,0.903469964287618,0.9716185118895423,0.6835351960666747,0
level,RUB_KGS,10,5,176,0.4375,0.45424242424242417,0.96314209472982,0.9710982658959536,0.4698512137823023,0
momentum,RUB_TJS,1,5,208,0.7451923076923077,0.7712980769230768,0.966153462569345,0.9705596894208997,0.88553624139062,0
reversal,RUB_KZT,5,5,135,0.5037037037037037,0.48997530864197525,1.0280185446482564,0.969143366380751,0.8319467554076538,2
