policy,corridor,horizon_days,folds,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
fast,RUB_KGS,5,5,122,0.5194647201946472,0.6475409836065574,0.5481967213114755,1.18122009569378,1.032624962586052,0.0,2,,,
slow,RUB_KGS,5,4,70,0.3798449612403101,0.6142857142857143,0.5685714285714286,1.0804020100502512,1.1304740147508647,0.7789317507418396,1,1.542857142857143,-6.677555425314657,-5.606573483708554
fast,RUB_KGS,10,4,121,0.6596573208722741,0.4297520661157025,0.4776308539944904,0.8997577575268196,0.8202560675034218,0.6198347107438016,1,,,
slow,RUB_KGS,10,4,95,0.5179127725856698,0.4421052631578947,0.46842105263157896,0.9438202247191011,1.047829082944502,0.7664233576642335,0,2.263157894736842,0.30017479850173423,-1.4715083327238676
fast,RUB_KGS,20,4,102,0.56,0.38235294117647056,0.378921568627451,1.0090556274256144,1.01136717079024,0.7537688442211056,1,,,
slow,RUB_KGS,20,4,85,0.4666666666666667,0.35294117647058826,0.362156862745098,0.9745533297238768,1.038089005235602,0.7529280535415506,1,2.2470588235294118,-4.8209964072882014,-1.3143324676103945
fast,RUB_KZT,1,5,164,0.6966019417475728,0.9451219512195121,0.7401626016260162,1.2769112478031635,1.310759148006554,1.0840108401084012,3,,,
slow,RUB_KZT,1,3,69,0.4543744120413923,0.782608695652174,0.7189371980676329,1.0885633651390942,1.0814708002883924,1.0614772224679345,0,2.6231884057971016,23.028079640977353,15.626231451358839
fast,RUB_KZT,3,4,151,0.8187451587916345,0.7549668874172185,0.574878587196468,1.313263190231165,1.2896009280567444,1.150817686250757,2,,,
slow,RUB_KZT,3,4,85,0.46088303640588696,0.7411764705882353,0.5657647058823528,1.3100436681222711,1.327556042762116,1.0047846889952154,3,1.0235294117647058,-1.528867721821651,10.765084018935944
fast,RUB_KZT,5,5,119,0.5066909975669099,0.5378151260504201,0.5042016806722689,1.0666666666666667,0.8741721854304635,0.0,0,,,
slow,RUB_KZT,5,5,54,0.22992700729927007,0.5740740740740741,0.5329012345679013,1.077261670334762,1.0477299185098954,0.0,1,1.4814814814814814,-6.6255095608760675,-0.5573644778408509
fast,RUB_KZT,10,5,163,0.6965811965811965,0.3619631901840491,0.35186094069529655,1.0287109147971638,0.9635974304068523,0.9305760709010339,1,,,
slow,RUB_KZT,10,5,125,0.5341880341880342,0.36,0.3838933333333333,0.9377604890247291,0.946969696969697,0.6540697674418604,0,1.992,-10.671288266959472,-0.8087913636211308
fast,RUB_KZT,20,5,143,0.614487415592388,0.3356643356643357,0.309114219114219,1.0858909584495895,1.1180124223602486,0.8413180649684507,2,,,
slow,RUB_KZT,20,5,121,0.519950890116636,0.3305785123966942,0.3164187327823691,1.0447501305937665,1.039119804400978,0.3973509933774835,2,2.2231404958677685,-12.590748472573305,-9.056829747782755
