date,corridor,rub_per_unit,horizon_days,test_year,score,threshold,message_hit,future_regret_bps,moment_advantage_bps,indicator,direction,signal_strength,signal_speed,recommended_scenario,reason_code
2023-05-30,RUB_KZT,0.179626,10,2023,0.20207012883238945,0.0009208862158076372,1,0.0,26.880377166,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-06-06,RUB_KZT,0.181579,10,2023,0.24758842002959294,0.0009208862158076372,1,27.7565136938,53.7824568872,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-06-14,RUB_KZT,0.186981,10,2023,0.056331558912540054,0.0009208862158076372,0,98.4592017371,-104.2591708622,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-06-20,RUB_KZT,0.186227,10,2023,0.23773488718186628,0.0009208862158076372,1,0.0,60.6183370279,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-06-27,RUB_KZT,0.189384,10,2023,0.23873149991309964,0.0009208862158076372,1,21.5435306045,114.9402432029,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-07-04,RUB_KZT,0.198797,10,2023,0.012289980020340074,0.0009208862158076372,1,0.0,-40.428800217,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-07-11,RUB_KZT,0.20614,10,2023,0.02163769553095774,0.0009208862158076372,0,175.560298826,-164.8923842556,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-07-18,RUB_KZT,0.202521,10,2023,0.25727232277713186,0.0009208862158076372,1,9.6780087003,79.2666626545,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-07-25,RUB_KZT,0.203433,10,2023,0.18343525967221275,0.0009208862158076372,0,54.4651064478,47.4042625164,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-08-01,RUB_KZT,0.205511,10,2023,0.08517877785170429,0.0009208862158076372,1,0.0,133.3543359363,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-08-08,RUB_KZT,0.216863,10,2023,0.0032353556323280177,0.0009208862158076372,0,484.6377667006,-165.1876502332,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-08-15,RUB_KZT,0.226643,10,2023,0.0022749219063847403,0.0009208862158076372,0,1102.5268814832,-655.8438854368,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-08-22,RUB_KZT,0.203899,10,2023,0.7465602235471941,0.0009208862158076372,1,0.0,277.8475336323,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-08-29,RUB_KZT,0.207471,10,2023,0.1637323091772926,0.0009208862158076372,0,59.1889950885,-4.3926743143,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-09-05,RUB_KZT,0.211705,10,2023,0.024167681374525404,0.0009208862158076372,0,335.7974540044,-142.6373793342,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
