metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
delta_hit_rate,0.15314365424659357,0.08505944721618806,0.22034497269069753,0.03435720424883569,1.0,,1.0,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
lift,1.245312177067611,1.1345776241522973,1.3593009795916682,0.05740476381240314,,0.169,,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_mean_regret_bps,42.24996526365367,24.473719398740077,63.99057716996198,10.196492040008504,,,,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_mean_regret_bps,76.41389682891003,56.04510156012735,98.4241239218209,10.710608854830083,,,,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_mean_regret_bps,-34.16393156525637,-49.742299864937095,-19.80073753534886,7.628125165939877,,,1.0,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_false_push_regret_bps,-23.073396000268318,-60.388756590395616,19.17767650904855,20.176041166623435,,,0.8772,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_p90_regret_bps,-81.35437572519707,-151.11928873127252,-24.01304048032763,32.04358951352061,,,0.9982,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_hit_rate,0.808997926861406,0.7349710640678112,0.8805076114922813,0.03755397985980146,,,,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_hit_rate,0.6861808000646713,0.639922829073655,0.734663736389379,0.024717531605754548,,,,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_hit_rate,0.12281712679673483,0.0664876993807456,0.17989937205022055,0.028667805469358043,1.0,,1.0,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
lift,1.179241705210725,1.0977120779140983,1.2654425230463924,0.042561397522006474,,0.0028,,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_mean_regret_bps,39.45452472306687,22.547276647765624,60.25244495090656,9.731415992977006,,,,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_mean_regret_bps,66.4901648237668,48.08865745588408,87.07572124456604,10.17068165407343,,,,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_mean_regret_bps,-27.035640100699943,-38.99989758236521,-15.955793668406553,5.861310301914851,,,1.0,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_false_push_regret_bps,-19.56369378659845,-55.447354599935196,23.65167544976508,20.378328807143653,,,0.84,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
